name,location,image_url
Aradi Aurel Vlaicu Egyetem,Arad,university_images/Aradi Aurel Vlaicu Egyetem.webp
Aradi Vasile Goldiș Egyetem,Arad,university_images/Aradi Vasile Goldiș Egyetem.webp
Bákói Vasile Alecsandri Egyetem,Bákó,university_images/Bákói Vasile Alecsandri Egyetem.webp
Bákói George Bacovia Egyetem,Bákó,university_images/Bákói George Bacovia Egyetem.webp
Târgoviște-i  Valahia Egyetem,Alexandria,university_images/Târgoviște-i  Valahia Egyetem.webp
Dimitrie Cantemir Keresztény Egyetem,Brassó,university_images/Dimitrie Cantemir Keresztény Egyetem.webp
Spiru Haret Egyetem,Brassó,university_images/Spiru Haret Egyetem.webp
Brassói Erdélyi Egyetem,Brassó,university_images/Brassói Erdélyi Egyetem.webp
Henri Coandă Légi Erők Akadémiája,Brassó,university_images/Henri Coandă Légi Erők Akadémiája.webp
Galaci Dunărea de Jos Egyetem,Brajla,university_images/Galaci Dunărea de Jos Egyetem.webp
Constantin Brâncoveanu Egyetem,Brajla,university_images/Constantin Brâncoveanu Egyetem.webp
Babeş-Bolyai Tudományegyetem,Marosvásárhely,university_images/Babeş-Bolyai Tudományegyetem.webp
"Marosvásárhelyi George Emil Palade Orvosi, Gyógyszerészeti, Tudomány- és Technológiai Egyetem",Marosvásárhely,"university_images/Marosvásárhelyi George Emil Palade Orvosi, Gyógyszerészeti, Tudomány- és Technológiai Egyetem.webp"
Marosvásárhelyi Művészeti Egyetem,Marosvásárhely,university_images/Marosvásárhelyi Művészeti Egyetem.webp
Sapientia Erdélyi Magyar Tudományegyetem,Marosvásárhely,university_images/Sapientia Erdélyi Magyar Tudományegyetem.webp
Dimitrie Cantemir Egyetem,Marosvásárhely,university_images/Dimitrie Cantemir Egyetem.webp
Semmelweis Egyetem,Budapest,university_images/Semmelweis Egyetem.webp
Babeş-Bolyai Tudományegyetem,Beszterce,university_images/Babeş-Bolyai Tudományegyetem.webp
Kolozsvári Műszaki Egyetem,Beszterce,university_images/Kolozsvári Műszaki Egyetem.webp
Mezőgazdasági és Állatorvosi Egyetem,Călărași,university_images/Mezőgazdasági és Állatorvosi Egyetem.webp
Spiru Haret Egyetem,Câmpulung,university_images/Spiru Haret Egyetem.webp
Adventus Egyetem,Cernica,university_images/Adventus Egyetem.webp
Bukaresti Politechnikai Egyetem,Bukarest,university_images/Bukaresti Politechnikai Egyetem.webp
Építőipari Műszaki Egyetem,Bukarest,university_images/Építőipari Műszaki Egyetem.webp
Ion Mincu Építészeti és Urbanisztikai Egyetem,Bukarest,university_images/Ion Mincu Építészeti és Urbanisztikai Egyetem.webp
Mezőgazdasági és Állatorvosi Egyetem,Bukarest,university_images/Mezőgazdasági és Állatorvosi Egyetem.webp
Bukaresti Egyetem,Bukarest,university_images/Bukaresti Egyetem.webp
