Szak,URL,Tartalom
Fordító és tolmács szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/fordito-es-tolmacs-szak,
Kertészmérnöki szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/kerteszmernoki-szak,
Tájépítészet mérnöki szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/tajepiteszet-szak,
Kommunikáció és közkapcsolatok szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/kommunikacio-es-kozkapcsolatok-szak,
Közegészségügyi szolgáltatások és politikák szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/kozegeszsegugyi-szolgaltatasok-es-politikak-szak,
Informatika szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/informatika-szak,
Automatika és alkalmazott informatika mérnök szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/automatika-es-alkalmazott-informatika-mernok-szak,
Gépészmérnöki szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/gepeszmernoki-szak,
Infokommunikációs hálózatok és rendszerek (Távközlés) mérnöki szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/infokommunikacios-halozatok-es-rendszerek-tavkozles-szak,
Mechatronika mérnöki szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/mechatronika-szak,
Számítástechnika mérnöki szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/szamitastechnika-szak,
