name,location,google_link
Babeş-Bolyai Tudományegyetem,Marosvásárhely,
"Marosvásárhelyi George Emil Palade Orvosi, Gyógyszerészeti, Tudomány- és Technológiai Egyetem",Marosvásárhely,
Marosvásárhelyi Művészeti Egyetem,Marosvásárhely,
Sapientia Erdélyi Magyar Tudományegyetem,Marosvásárhely,n
Dimitrie Cantemir Egyetem,Marosvásárhely,n
Târgoviște-i  Valahia Egyetem,Alexandria,n
Aradi Aurel Vlaicu Egyetem,Arad,n
Aradi Vasile Goldiș Egyetem,Arad,n
Bákói Vasile Alecsandri Egyetem,Bákó,n
Bákói George Bacovia Egyetem,Bákó,n
Babeş-Bolyai Tudományegyetem,Beszterce,n
Kolozsvári Műszaki Egyetem,Beszterce,n
Galaci Dunărea de Jos Egyetem,Brajla,n
Constantin Brâncoveanu Egyetem,Brajla,n
Dimitrie Cantemir Keresztény Egyetem,Brassó,n
Spiru Haret Egyetem,Brassó,n
Brassói Erdélyi Egyetem,Brassó,n
Henri Coandă Légi Erők Akadémiája,Brassó,n
Semmelweis Egyetem,Budapest,n
Bukaresti Politechnikai Egyetem,Bukarest,n
Építőipari Műszaki Egyetem,Bukarest,n
Ion Mincu Építészeti és Urbanisztikai Egyetem,Bukarest,n
Mezőgazdasági és Állatorvosi Egyetem,Bukarest,n
Bukaresti Egyetem,Bukarest,n
Carol Davila Orvostudományi és Gyógyszerészeti Egyetem,Bukarest,n
Bukaresti Gazdaságtudományi-Akadémia,Bukarest,n
Bukaresti Nemzeti Zene Egyetem,Bukarest,n
Bukaresti Nemzeti Művészeti Egyetem,Bukarest,n
I.L.Caragiale Nemzeti Színművészeti és Film Egyetem,Bukarest,n
Bukaresti Nemzeti Tesnevelés és Sport Egyetem,Bukarest,n
Nemzeti Politikai és Adminisztratív Tanulmányok Egyeteme,Bukarest,n
Dimitrie Cantemir Keresztény Egyetem,Bukarest,n
Titu Maiorescu Egyetem,Bukarest,n
Nicolae Titulescu Egyetem,Bukarest,n
Román-Amerikai Egyetem,Bukarest,n
Bukaresti Hyperion Egyetem,Bukarest,n
Spiru Haret Egyetem,Bukarest,n
BIOTERRA Egyetem,Bukarest,n
Bukaresti Ökológia Egyetem,Bukarest,n
Athenaeum Egyetem,Bukarest,n
Bukaresti Artifex Egyetem,Bukarest,n
Baptista Teológiai Intézet,Bukarest,n
